X1	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X7	X70	X71	X72	X73	X8	X9
sq59	2	189	86	594	563	1700	698	136	78	6	22	19	32	95	276	25	266	52	313	623	714	0	13	4	16	73	28	72	12	16	40	267	554	4	2024	2331	177	84	9	3	34	19	26	46	132	81	98	500	40	67	91	574	142	297	17	53	4	4	28	10	50	43	250	362	2080	1083	17	3659	0	0	0	47	14
sq60	2	483	11	699	211	1300	126	256	23	24	278	170	61	1222	982	66	1729	42	525	215	440	6	169	7	31	1474	51	703	17	12	933	71	436	8	135	211	183	323	173	7	471	16	658	10	486	724	9	317	15	9	11	436	46	384	280	545	246	3	315	13	306	12	702	117	897	43	38	744	0	0	0	327	22
sq61	25	4	0	0	0	1	0	154	5	25	1333	995	19	860	455	10	578	3	5	0	0	39	577	36	17	1380	9	532	1	0	303	20	233	27	1	2	33	409	899	29	1385	10	630	13	852	218	21	802	10	13	3	276	53	306	3853	800	2610	6	329	3	319	1	174	0	3	0	29	0	1	0	0	257	2
sq62	3	1052	26	293	50	170	23	667	29	12	363	338	41	1342	1341	20	1899	20	487	40	81	2	165	1	33	1038	27	504	10	5	429	44	775	4	136	526	93	303	178	9	364	11	480	17	756	630	21	785	27	14	33	1156	58	445	238	445	141	7	184	10	281	15	559	98	744	49	4	1104	0	0	0	523	12
sq63	0	21	0	1	0	2	0	283	30	23	639	299	52	1956	1661	40	1100	9	16	0	1	6	139	13	31	2507	67	1827	19	26	724	9	63	9	1	1	398	644	341	28	342	31	2274	21	1003	565	7	152	6	7	4	136	16	259	494	559	156	14	415	48	734	28	635	1	12	0	44	2	0	0	0	485	25
sq64	1	908	13	1637	313	1180	88	153	36	2	52	45	28	632	869	24	1891	16	985	170	415	0	61	1	5	753	31	768	10	13	832	81	642	2	68	149	267	183	45	2	150	6	429	18	301	749	10	313	2	2	1	44	79	296	62	275	35	4	119	21	166	35	899	213	1939	8	8	1576	0	2	0	254	16
sq65	2	295	8	100	8	63	3	659	16	10	106	65	60	920	1984	40	1601	32	359	5	39	6	44	5	59	1078	134	1347	82	54	1570	44	390	3	6	47	155	569	87	23	223	51	989	82	531	1408	7	187	8	0	0	38	51	649	102	293	45	5	261	19	623	36	2114	1	946	0	28	39	0	1	0	538	41
sq66	77	0	1	0	6	0	0	2	45	132	2	7	627	9	9	74	14	56	1	2	0	287	3	150	1946	25	602	6	234	74	3	20	0	70	4	1	2614	82	9	3243	145	1173	15	701	8	1	52	0	43	129	147	8	38	8	147	3	42	1830	113	3742	131	1065	47	23	5	11	177	3	1	0	0	3	227
sq67	8	968	107	1187	389	917	120	523	123	71	262	187	194	737	785	83	1291	90	491	237	693	5	120	5	50	395	103	357	24	20	452	115	819	17	264	636	107	166	78	4	134	50	195	45	433	337	60	453	73	29	24	793	76	402	69	417	35	3	82	2	163	10	507	84	278	29	57	1660	0	0	0	408	32
sq68	8	5	4	0	1	0	1	491	93	58	310	186	206	1519	1546	61	1320	12	2	0	4	4	126	2	34	1318	48	1668	26	14	1643	8	60	3	0	1	167	627	197	4	272	20	812	95	973	1019	20	94	6	9	0	60	31	274	147	624	85	7	296	7	700	6	710	0	2	0	52	0	0	1	1	1233	105
sq69	6	68	8	1	2	2	1	894	64	33	689	237	130	1279	1720	72	1722	33	30	1	2	14	226	14	64	1513	78	1243	11	18	590	30	338	32	4	8	43	475	234	31	288	43	1256	32	668	522	20	342	38	66	20	615	24	237	271	588	155	15	288	48	340	48	451	2	24	2	53	2	0	0	0	839	53
sq70	34	35	9	1	0	1	0	549	438	344	737	209	619	1491	1080	144	1066	144	8	0	1	67	123	28	428	1437	529	675	150	200	363	75	147	126	0	1	57	328	302	32	366	521	555	419	643	251	142	276	228	35	0	56	39	100	190	432	174	37	336	7	461	5	244	0	2	1	168	0	1	0	0	1006	124
sq71	3	299	5	230	54	63	6	1190	43	9	176	30	67	1012	1875	36	1692	24	361	18	60	3	49	21	47	944	117	1042	40	59	1224	21	369	13	12	23	151	701	150	22	155	43	883	53	367	646	12	183	2	9	2	46	65	450	77	327	79	8	185	65	405	64	1253	82	339	3	13	101	2	1	0	554	33
sq72	0	307	1	86	8	18	0	569	53	11	623	444	29	931	1774	23	1189	9	255	3	1	2	155	6	26	2025	46	1081	15	15	431	17	362	6	4	40	192	293	276	10	218	38	923	37	834	584	8	514	9	13	18	467	52	371	362	263	107	9	298	25	453	39	957	17	182	1	20	58	0	1	0	487	10
sq73	97	0	273	0	102	6	25	2	228	202	0	1	376	0	4	186	0	344	4	15	3	98	0	51	468	1	587	4	339	217	1	120	3	127	112	2	1228	18	2	1070	13	376	1	1088	1	0	117	0	134	610	900	22	131	25	18	1	6	680	8	2245	38	3978	89	425	101	198	262	13	0	0	0	0	302
sq74	8	133	36	30	69	56	37	773	179	77	670	279	101	818	1101	49	1272	27	65	30	23	2	127	11	35	402	38	247	18	9	144	357	936	21	1157	1054	113	297	92	9	146	45	188	83	728	397	101	906	44	148	95	654	74	353	72	397	43	4	109	6	90	35	312	378	314	61	27	528	0	0	0	450	66
sq75	18	581	235	205	194	292	69	533	130	65	332	298	131	516	1384	66	904	108	225	98	213	1	199	0	37	238	58	225	18	9	99	282	828	15	861	1227	80	104	62	6	49	14	114	98	497	219	128	664	74	39	53	1088	88	297	25	352	12	4	52	4	131	24	376	73	605	101	45	1039	0	0	0	435	62
sq76	4	755	30	1096	261	843	103	183	33	12	85	55	27	635	683	54	1730	39	723	154	394	1	70	5	9	644	27	460	9	14	722	77	599	1	135	194	138	186	49	3	139	6	294	6	289	589	1	275	1	2	5	119	66	274	62	347	35	4	123	18	191	24	560	173	1437	8	10	993	0	0	0	199	2
sq77	8	58	101	116	2031	390	1661	114	147	29	51	24	222	184	269	63	350	78	78	3552	61	7	19	8	110	84	196	94	62	41	66	514	205	19	551	104	396	110	9	19	29	75	71	101	121	95	52	116	61	66	151	158	58	129	16	47	9	15	33	76	34	76	136	432	1252	334	33	1282	0	0	0	51	112
sq78	12	267	454	79	314	431	254	159	118	127	93	27	380	146	476	127	206	342	88	203	273	2	39	9	198	64	194	143	61	57	48	1811	1262	22	1303	694	142	79	27	8	28	97	107	361	96	44	642	480	624	125	62	1169	67	330	14	74	5	9	46	19	52	41	498	114	349	12	128	663	0	0	0	52	276
sq79	11	1282	57	158	78	70	22	492	76	31	524	439	75	935	912	34	1064	25	378	17	14	7	330	4	20	452	26	330	13	7	142	97	650	34	442	412	41	111	105	15	236	9	351	13	843	185	21	402	78	71	97	1713	41	208	78	455	47	3	119	8	105	4	177	89	589	28	31	790	0	0	0	307	10
sq80	1	0	17	154	5012	462	2947	1	24	0	2	1	15	2	0	5	2	31	51	3648	130	3	0	1	1	2	14	1	11	10	1	216	6	3	874	10	27	12	0	0	1	3	0	8	1	0	10	1	5	2	4	5	29	26	1	1	2	1	1	10	4	14	19	574	1099	212	0	1227	0	0	0	0	3
