X1	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X7	X8	X9
sq54	44	5	0	1	671	13	762	10	537	304	595	676	16	0	7	149	766	16	1518	86	920	73	74	112	3	5	0	769	140	686	43	2342	91	624	191	6	165	291	77	66	590	136	2401	364	106	2968	823	22	36	1	3	95	0	32	328	539	0	3	40	1
sq55	2	113	2	14	561	5	882	1	274	16	688	388	23	4	17	81	634	1	789	8	344	8	8	1969	18	484	7	399	70	587	1	876	2	788	1039	2	2087	1144	2031	19	215	80	463	178	2	476	486	223	737	4	119	9	0	17	58	544	0	3	683	1
sq56	61	315	1183	88	2	52	29	634	24	1891	16	2	991	170	415	0	5	756	31	770	13	838	276	81	641	68	150	2	151	6	431	18	752	9	10	313	2	1	44	35	4	119	21	169	255	35	902	217	1947	8	1582	674	105	52	110	16	0	912	13	1643
sq57	170	211	1314	127	24	279	61	1238	66	1742	42	9	529	217	445	6	31	1487	52	706	12	936	549	71	437	136	211	7	477	17	665	10	729	38	9	318	15	12	438	250	3	318	13	310	329	12	703	117	901	43	751	587	261	231	72	22	0	484	11	706
sq58	122	2	0	2	1708	147	2299	123	274	231	152	1009	0	0	3	509	2318	198	1750	118	369	21	218	401	48	11	0	223	353	1153	140	409	36	882	494	29	809	133	443	298	102	368	126	272	52	29	166	5	37	0	4	8	0	63	90	683	0	3	32	0
sq59	167	50	173	23	12	369	41	1359	20	1914	21	4	492	40	82	2	34	1046	27	506	5	431	448	44	790	137	537	9	365	11	481	18	637	4	21	797	27	33	1160	142	7	184	10	281	529	15	562	99	746	50	1119	825	152	787	0	12	0	1060	26	297
sq60	121	390	925	121	71	266	195	740	83	1305	91	17	494	237	697	5	51	396	103	359	20	456	420	117	832	267	642	4	135	50	196	45	341	57	60	456	73	24	800	35	3	82	2	163	413	10	511	84	282	29	1677	659	238	582	44	32	0	975	108	1197
sq61	565	1	0	0	579	1484	333	640	49	106	15	393	0	0	1	1279	611	1930	301	576	18	55	427	11	6	0	0	180	1105	488	920	111	40	440	216	346	57	1	13	1114	23	464	16	496	72	2	36	0	0	0	0	19	2975	59	65	65	0	0	0	1
sq62	0	12	1	0	248	0	2205	1	725	3	880	145	16	2	11	23	330	1	1279	0	289	1	0	298	0	41	0	82	24	388	2	2820	0	899	460	3	656	463	298	3	75	46	584	246	0	844	763	64	235	3	7	1	0	2	0	2793	0	2	393	0
sq63	3	6	0	0	134	2	631	9	74	14	56	70	1	3	0	292	1958	25	606	6	76	3	3	20	0	4	1	3269	145	1182	16	710	1	177	53	0	43	150	9	43	1842	113	3772	132	3	1073	47	23	5	11	3	0	0	0	1345	228	0	0	1	0
sq64	44	8	63	3	10	107	60	929	40	1611	32	3	362	5	39	6	59	1082	136	1357	55	1581	294	44	392	6	47	24	223	51	993	82	1415	28	7	190	8	0	39	46	5	262	19	628	540	36	2121	1	952	0	38	959	0	34	9	41	0	295	8	100
sq65	140	0	2	0	23	642	53	1964	40	1103	9	9	16	0	1	6	32	2518	67	1846	26	732	562	9	63	1	1	29	342	31	2289	21	569	44	7	152	6	4	136	157	14	418	48	739	492	28	636	1	12	0	2	201	635	94	50	25	0	21	0	1
sq66	0	5069	466	2964	0	2	15	2	5	2	31	3	52	3665	129	3	1	2	14	1	10	1	1	217	6	882	10	0	1	3	0	8	0	0	10	1	5	4	5	2	1	1	10	4	0	14	19	577	1105	211	1237	0	0	0	5	3	0	0	17	154
sq67	40	318	433	258	130	95	385	146	132	208	347	22	87	205	277	2	202	64	196	146	58	48	75	1833	1273	1315	701	8	28	98	108	368	44	130	646	485	639	63	1187	5	9	46	21	53	53	42	504	114	351	12	672	192	49	383	44	280	0	270	460	82
sq68	19	2049	395	1671	29	51	221	188	64	354	79	19	79	3581	62	7	113	84	199	95	42	67	47	516	206	559	104	19	30	75	72	100	97	34	52	116	62	153	161	9	16	33	78	35	52	77	138	434	1269	338	1290	51	163	26	20	113	0	59	101	117
sq69	71	263	841	103	12	86	27	634	53	1730	39	1	726	152	394	1	9	641	28	461	14	724	349	76	601	134	192	3	139	6	295	6	590	10	1	276	1	5	118	36	4	124	18	191	200	24	557	177	1431	8	992	557	173	62	25	2	0	753	30	1100
sq70	208	193	298	70	67	354	131	533	66	920	109	15	229	99	215	1	37	245	58	226	9	100	363	285	839	875	1251	6	51	14	117	101	219	46	129	674	75	53	1102	13	4	54	5	132	447	24	381	77	615	103	1056	589	527	549	0	64	0	590	240	207
sq71	126	0	1	0	346	740	629	1526	148	1089	148	129	8	0	1	67	436	1458	534	685	205	366	436	76	150	0	1	32	370	528	569	427	255	170	145	283	230	0	57	175	39	343	7	468	1028	5	248	0	2	1	0	256	85	718	29	126	0	38	9	1
sq72	587	0	1	0	26	1359	19	879	10	597	3	30	5	0	0	38	17	1416	9	543	1	309	813	20	238	1	2	30	1425	10	645	13	219	30	22	818	10	3	280	2648	6	332	3	325	264	1	180	0	3	0	0	86	1024	473	33	2	0	4	0	0
sq73	0	98	6	23	197	0	365	0	183	0	340	122	4	14	3	97	454	1	576	4	209	1	1	114	3	108	2	1045	13	371	1	1064	0	258	115	0	131	866	22	6	657	8	2178	37	0	3875	86	416	94	193	12	0	12	1	430	292	0	0	271	0
sq74	228	2	2	1	33	694	130	1292	72	1734	33	32	30	1	2	14	64	1526	80	1250	18	597	591	31	342	4	8	31	289	44	1269	32	522	53	20	349	39	20	621	156	15	288	48	341	845	49	455	2	24	2	2	348	86	464	3	54	0	70	8	1
sq75	1070	2	43	44	130	104	194	73	47	76	55	823	4	8	5	667	804	295	452	250	28	9	364	58	22	52	11	184	213	417	64	1409	71	2668	91	47	206	152	269	93	120	30	157	45	29	62	87	37	74	8	28	29	607	136	2111	48	0	62	44	17
sq76	128	1	0	1	58	313	209	1531	62	1330	12	3	2	0	4	4	34	1337	50	1684	14	1664	632	8	60	0	1	4	277	20	818	96	1029	52	21	95	6	0	60	85	7	296	7	708	1245	6	715	0	2	0	0	178	85	135	25	107	0	5	5	0
sq77	50	54	65	6	9	176	68	1029	36	1718	24	14	364	18	60	3	47	953	118	1048	60	1238	330	22	371	13	23	22	159	43	899	54	649	13	12	185	2	2	46	79	8	186	65	408	560	65	1266	84	342	3	101	842	33	60	142	33	0	302	5	230
sq78	155	8	18	0	11	627	29	938	23	1213	9	6	259	3	1	2	27	2055	46	1099	15	436	265	17	366	4	41	10	217	37	935	38	595	20	8	518	9	17	472	107	9	304	25	458	491	39	967	17	186	1	59	602	227	309	18	10	0	310	1	87
sq79	335	79	71	23	31	529	75	946	34	1077	25	35	383	17	14	7	20	456	26	334	7	142	460	97	661	446	418	15	241	9	353	13	189	31	21	407	78	100	1738	47	3	120	9	106	310	4	178	89	600	28	805	367	0	568	11	9	0	1304	58	161
sq80	124	66	56	37	78	655	99	810	50	1249	26	21	64	28	24	2	36	393	37	241	9	142	387	344	918	1130	1030	10	146	42	188	81	388	27	96	889	44	92	646	44	4	103	6	88	452	33	305	371	307	59	516	319	21	641	17	61	0	132	35	32
sq81	53	767	430	100	16	62	41	272	13	817	56	7	1732	159	379	2	25	121	43	169	22	218	99	109	482	100	99	3	55	10	86	12	256	10	19	157	5	3	41	6	3	39	16	162	72	34	591	209	1413	56	826	605	341	43	72	10	0	765	62	1575
sq82	7	200	966	65	0	29	9	207	7	632	9	0	1205	96	387	0	2	159	9	157	3	171	85	36	592	55	155	0	39	5	96	8	228	2	2	245	4	3	109	13	1	22	10	46	111	16	350	159	1770	10	1523	606	515	96	72	7	0	808	14	1787
sq83	191	64	79	5	58	489	60	514	20	539	46	35	194	10	32	30	36	411	24	360	12	226	254	144	798	158	414	26	166	22	331	28	195	52	64	1051	80	62	1585	121	7	87	21	126	230	38	514	60	487	5	543	510	193	1182	24	21	0	372	34	162
sq84	51	10	105	4	6	175	16	932	20	1334	14	4	304	14	96	0	13	939	41	1019	21	784	269	28	591	11	107	6	114	14	711	22	581	15	3	285	5	15	305	30	15	156	11	465	475	26	925	6	339	1	89	614	526	260	24	7	0	335	6	303
sq85	3	616	3451	472	1	6	1	22	2	41	5	1	354	837	1852	4	0	11	3	24	3	31	5	37	455	202	522	1	3	1	2	6	8	2	16	100	2	4	74	3	0	2	3	4	13	9	110	317	822	137	1259	261	4	54	11	2	0	248	19	963
sq86	325	26	46	3	144	862	195	789	72	510	38	83	61	12	13	30	250	1454	158	632	21	258	461	131	465	43	98	136	327	139	1054	83	142	173	76	595	98	52	491	135	30	255	20	221	373	21	281	21	79	1	67	224	181	543	52	65	0	169	52	48
sq87	64	2	0	0	115	311	264	515	81	180	25	55	0	0	2	142	862	3381	383	948	65	83	187	2	0	0	0	74	168	503	1953	146	114	203	19	44	1	1	2	148	35	527	19	578	126	1	75	0	0	0	0	44	678	9	40	117	0	1	0	0
sq88	123	30	14	13	43	400	55	477	30	411	16	8	28	7	3	7	30	809	70	443	3	199	263	294	935	173	300	17	139	25	542	31	183	43	70	784	97	188	2867	55	13	147	13	194	205	19	244	37	238	23	105	120	401	1095	3	20	0	88	6	12
sq89	0	649	19	7	0	0	156	255	243	1153	959	0	1077	12	14	3	0	1	8	1	2	7	10	19	15	64	69	4	4	1	1	7	13	9	13	30	3	4	9	0	1	0	4	2	164	6	27	13	44	12	22	1590	0	2	7	124	0	2798	3101	229
sq90	108	231	328	42	16	175	65	686	32	1192	72	15	514	64	154	11	36	774	68	522	24	257	242	53	342	102	216	48	255	22	475	58	353	17	23	323	8	41	212	77	16	114	78	154	268	127	443	125	428	29	580	578	0	146	36	30	0	825	193	528
sq91	4	1	0	0	397	2	315	2	91	5	40	478	0	0	1	318	702	2	382	0	24	0	6	9	0	6	0	3534	90	533	4	179	0	524	35	0	43	240	8	55	1297	42	1713	36	0	256	6	6	2	2	0	0	0	0	1399	154	0	0	1	0
sq92	419	10	54	8	173	1130	92	555	19	419	10	50	20	3	24	8	32	398	19	152	3	73	439	146	1086	121	416	10	242	27	205	14	93	42	127	856	99	87	1921	58	3	73	15	60	332	5	108	14	52	8	173	93	18	2014	30	33	0	60	22	28
sq93	35	165	5	13	362	50	747	80	381	247	685	174	108	13	14	90	414	89	660	155	211	90	69	941	184	178	16	48	60	264	97	411	74	268	313	89	699	249	725	44	23	68	88	105	44	144	440	46	375	2	97	151	177	88	35	356	0	189	655	11
sq94	48	20	76	2	3	201	31	982	32	1537	22	1	246	8	96	2	21	1125	51	929	32	775	340	23	374	2	18	2	143	20	753	47	579	18	6	277	2	0	30	47	3	235	21	533	516	21	717	13	106	2	102	445	112	68	15	17	0	252	10	305
sq95	51	1	0	0	7	248	49	1169	70	1226	6	6	64	0	4	1	27	1697	81	1584	23	503	225	6	52	1	3	16	178	12	1991	35	622	9	8	92	0	0	18	58	7	306	36	400	261	41	515	0	13	0	0	275	115	14	17	22	0	97	2	5
sq96	58	166	425	50	7	72	19	514	24	1317	19	1	454	89	222	2	3	566	24	386	2	561	225	56	355	74	113	2	116	8	258	3	442	10	6	222	5	9	151	47	3	70	15	167	189	27	489	120	756	6	549	432	518	85	58	9	0	500	14	527
sq97	74	23	681	7	2	149	6	344	4	589	20	2	809	35	1158	2	6	192	5	190	3	148	156	17	494	29	485	5	95	1	108	3	125	1	2	295	4	6	363	39	0	66	2	80	257	4	337	6	93	1	374	1031	576	302	15	4	0	1001	21	737
sq98	54	1	1	1	458	260	603	214	330	78	230	679	2	2	3	117	494	338	598	100	163	35	52	523	26	28	2	26	191	434	225	500	21	741	390	83	960	39	764	109	13	133	27	215	74	15	252	2	19	1	2	24	9	135	0	388	0	3	36	1
sq99	41	164	429	52	6	93	3	229	9	538	8	1	648	146	505	3	3	159	5	163	2	218	116	50	780	88	511	0	33	1	84	4	201	2	5	286	8	7	530	11	2	41	2	96	98	12	537	69	812	33	944	417	587	260	55	2	0	235	6	868
